SN,2010,2012,2014
290,12600,9000,13000
291,12600,9000,13000
292,12600,9000,13000
293,12600,9000,13000
294,12600,9000,13000
295,12600,9000,13000
296,12600,9000,13000
297,12600,9000,13000
298,12600,9000,13000
299,12600,9000,13000
300,12600,9000,13000
301,12600,9000,13000
302,12500,9000,13000
303,12500,9000,13000
304,12500,9000,13000
305,12500,9000,13000
306,12500,9000,13000
307,12500,8900,13000
308,12500,8900,13000
309,12500,8900,13000
310,12500,8900,13000
311,12500,8900,13000
312,12400,8900,13000
313,12400,8900,13000
314,12400,8900,13000
315,12400,8900,13000
316,12400,8900,13000
317,12400,8900,13000
318,12400,8900,13000
319,12400,8900,13000
320,12300,8800,13000
321,12300,8800,13000
322,12300,8800,13000
323,12300,8800,13000
324,12300,8800,13000
325,12300,8800,13000
326,12300,8800,13000
327,12300,8800,13000
328,12300,8800,13000
329,12300,8800,13000
330,12300,8800,13000
331,12300,8800,13000
332,12300,8800,13000
333,12300,8800,13000
334,12300,8800,13000
335,12300,8800,13000
336,12200,8700,13000
337,12200,8700,12997
338,12200,8700,12988
339,12200,8700,12978
340,12200,8700,12969
341,12200,8700,12960
342,12200,8700,12951
343,12200,8700,12941
344,12200,8700,12932
345,12200,8700,12923
346,12200,8700,12914
347,12200,8700,12905
348,12200,8700,12895
349,12200,8700,12886
350,12200,8700,12858
351,12200,8700,12800
352,12200,8700,12756
353,12200,8600,12637
354,12200,8600,12609
355,12200,8600,12535
356,12200,8600,12526
357,12200,8600,12101
358,12200,8600,12082
359,12200,8600,12073
360,12100,8600,11944
361,12100,8600,11925
362,12100,8600,11907
363,12100,8600,11888
364,12100,8600,11879
365,12100,8600,11870
366,12100,8600,11860
367,12100,8600,11851
368,12100,8600,11842
369,12100,8600,11833
370,12100,8600,11823
371,12100,8600,11814
372,12100,8600,11805
373,12100,8600,11796
374,12100,8600,11786
375,12100,8600,11777
376,12100,8500,11768
377,12100,8500,11759
378,12100,8500,11750
379,12100,8500,11740
380,12100,8500,11731
381,12100,8500,11713
382,12100,8500,11703
383,12100,8500,11676
384,12000,8500,11611
385,12000,8500,11546
386,12000,8500,11519
387,12000,8500,11389
388,12000,8500,11325
389,12000,8500,11315
390,12000,8500,11306
391,12000,8500,11297
392,12000,8500,11288
393,12000,8500,11269
394,12000,8500,11260
395,12000,8500,11241
396,12000,8500,11232
397,12000,8500,10983
398,12000,8500,10752
399,12000,8500,10567
400,12000,8500,10502
401,12000,8400,10456
402,12000,8400,10447
403,12000,8400,10160
404,12000,8400,10151
405,12000,8400,10142
406,12000,8400,10133
407,11900,8400,10123
408,11900,8400,10068
409,11900,8400,9975
410,11900,8400,9966
411,11900,8400,9957
412,11900,8400,9948
413,11900,8400,9939
414,11900,8400,9920
415,11900,8400,9911
416,11900,8400,9902
417,11900,8400,9680
418,11900,8400,9661
419,11900,8300,9652
420,11900,8300,9643
421,11900,8300,9514
422,11900,8300,9504
423,11900,8300,9495
424,11900,8300,9486
425,11900,8300,9477
426,11900,8300,9467
427,11900,8300,9458
428,11800,8300,9449
429,11800,8300,9430
430,11800,8300,9421
431,11800,8300,9412
432,11800,8300,9403
433,11800,8300,9393
434,11800,8300,9246
435,11800,8300,9218
436,11800,8300,9209
437,11800,8300,9199
438,11800,8300,9190
439,11800,8300,9172
440,11800,8200,9162
441,11800,8200,9153
442,11800,8200,9144
443,11800,8200,9135
444,11800,8200,9125
445,11800,8200,9116
446,11800,8200,9107
447,11800,8200,9061
448,11800,8200,9052
449,11800,8200,9033
450,11800,8200,9024
451,11800,8200,9005
452,11800,8200,8996
453,11800,8200,8987
454,11800,8200,8978
455,11800,8200,8968
456,11800,8200,8959
457,11800,8200,8931
458,11700,8200,8922
459,11700,8200,8904
460,11700,8200,8894
461,11700,8200,8885
462,11700,8200,8876
463,11700,8200,8867
464,11700,8200,8857
465,11700,8100,8821
466,11700,8100,8800
467,11700,8100,8793
468,11700,8100,8784
469,11700,8100,8774
470,11700,8100,8765
471,11700,8100,8756
472,11700,8100,8747
473,11700,8100,8737
474,11700,8100,8728
475,11700,8100,8719
476,11700,8100,8710
477,11700,8100,8700
478,11700,8100,8691
479,11600,8100,8682
480,11600,8100,8673
481,11600,8100,8654
482,11600,8100,8645
483,11600,8100,8636
484,11600,8100,8626
485,11600,8100,8617
486,11600,8100,8608
487,11600,8100,8599
488,11600,8100,8590
489,11600,8100,8580
490,11600,8100,8571
491,11600,8100,8534
492,11600,8000,8525
493,11600,8000,8516
494,11600,8000,8506
495,11600,8000,8500
496,11600,8000,8414
497,11600,8000,8405
498,11600,8000,8395
499,11600,8000,8377
500,11500,8000,8359
501,11500,8000,8349
502,11500,8000,8340
503,11500,8000,8331
504,11500,8000,8322
505,11500,8000,8312
506,11500,8000,8303
507,11500,8000,8300
508,11500,8000,8294
509,11500,8000,8285
510,11500,8000,8238
511,11500,8000,8229
512,11500,8000,8220
513,11500,8000,8211
514,11500,8000,8201
515,11500,8000,8192
516,11500,8000,8183
517,11500,8000,8174
518,11500,8000,8165
519,11500,8000,8155
520,11500,8000,8146
521,11500,8000,8137
522,11500,8000,8128
523,11500,8000,8118
524,11500,8000,8109
525,11400,7900,8100
526,11400,7900,8091
527,11400,7900,8081
528,11400,7900,8072
529,11400,7900,8063
530,11400,7900,8054
531,11400,7900,8044
532,11400,7900,8035
533,11400,7900,8026
534,11400,7900,8017
535,11400,7900,8007
536,11400,7900,7998
537,11400,7900,7989
538,11400,7900,7980
539,11400,7900,7970
540,11400,7900,7961
541,11400,7900,7952
542,11400,7900,7943
543,11400,7900,7934
544,11400,7900,7924
545,11400,7900,7915
546,11400,7900,7906
547,11400,7900,7897
548,11400,7900,7887
549,11300,7900,7878
550,11300,7800,7869
551,11300,7800,7860
552,11300,7800,7850
553,11300,7800,7841
554,11300,7800,7832
555,11300,7800,7823
556,11300,7800,7813
557,11300,7800,7804
558,11300,7800,7795
559,11300,7800,7786
560,11300,7800,7776
561,11300,7800,7767
562,11300,7800,7758
563,11300,7800,7749
564,11300,7800,7739
565,11300,7800,7730
566,11300,7800,7721
567,11300,7800,7712
568,11300,7800,7703
569,11200,7800,7693
570,11200,7800,7684
571,11200,7800,7675
572,11200,7800,7666
573,11200,7800,7656
574,11200,7800,7647
575,11200,7800,7638
576,11200,7800,7629
577,11200,7800,7619
578,11200,7800,7610
579,11200,7800,7601
580,11200,7800,7600
581,11200,7800,7592
582,11200,7800,7582
583,11200,7800,7573
584,11200,7700,7564
585,11200,7700,7555
586,11200,7700,7545
587,11200,7700,7536
588,11200,7700,7527
589,11200,7700,7518
590,11200,7700,7508
591,11200,7700,7499
592,11200,7700,7490
593,11200,7700,7481
594,11200,7700,7472
595,11200,7700,7462
596,11200,7700,7453
597,11200,7700,7444
598,11200,7700,7435
599,11200,7700,7425
600,11200,7700,7416
601,11200,7700,7407
602,11200,7700,7398
603,11100,7700,7388
604,11100,7700,7379
605,11100,7700,7370
606,11100,7700,7342
607,11100,7700,7314
608,11100,7700,7305
609,11100,7700,7300
610,11100,7700,7300
611,11100,7700,7300
612,11100,7700,7300
613,11100,7700,7296
614,11100,7700,7287
615,11100,7700,7277
616,11100,7700,7268
617,11100,7700,7259
618,11100,7600,7241
619,11100,7600,7231
620,11100,7600,7222
621,11100,7600,7213
622,11100,7600,7204
623,11100,7600,7200
624,11100,7600,7200
625,11100,7600,7200
626,11100,7600,7200
627,11100,7600,7200
628,11100,7600,7200
629,11100,7600,7200
630,11100,7600,7200
631,11100,7600,7200
632,11100,7600,7200
633,11100,7600,7200
634,11000,7600,7200
635,11000,7600,7200
636,11000,7600,7200
637,11000,7600,7194
638,11000,7600,7185
639,11000,7600,7176
640,11000,7600,7130
641,11000,7600,7120
642,11000,7500,7111
643,11000,7500,7093
644,11000,7500,7065
645,11000,7500,7056
646,11000,7500,7046
647,11000,7500,7037
648,11000,7500,7010
649,11000,7500,7000
650,11000,7500,6991
651,11000,7500,6982
652,11000,7500,6973
653,11000,7500,6963
654,11000,7500,6954
655,11000,7500,6945
656,11000,7500,6936
657,11000,7500,6926
658,11000,7500,6917
659,11000,7500,6908
660,11000,7500,6900
661,11000,7500,6871
662,10900,7500,6862
663,10900,7500,6852
664,10900,7500,6843
665,10900,7500,6815
666,10900,7500,6806
667,10900,7500,6800
668,10900,7500,6797
669,10900,7500,6788
670,10900,7500,6779
671,10900,7500,6769
672,10900,7500,6760
673,10900,7500,6751
674,10900,7500,6742
675,10900,7400,6723
676,10900,7400,6714
677,10900,7400,6705
678,10900,7400,6700
679,10900,7400,6695
680,10900,7400,6686
681,10900,7400,6677
682,10900,7400,6668
683,10900,7400,6658
684,10900,7400,6649
685,10900,7400,6640
686,10900,7400,6603
687,10900,7400,6600
688,10900,7400,6600
689,10900,7400,6600
690,10900,7400,6600
691,10900,7400,6600
692,10900,7400,6600
693,10900,7400,6600
694,10900,7400,6600
695,10900,7400,6600
696,10800,7400,6600
697,10800,7400,6600
698,10800,7400,6600
699,10800,7400,6600
700,10800,7400,6600
701,10800,7400,6600
702,10800,7400,6600
703,10800,7350,6600
704,10800,7300,6600
705,10800,7300,6600
706,10800,7300,6600
707,10800,7300,6600
708,10800,7300,6600
709,10800,7300,6600
710,10800,7300,6600
711,10800,7300,6600
712,10800,7300,6594
713,10800,7300,6585
714,10800,7300,6575
715,10800,7300,6566
716,10800,7300,6557
717,10800,7300,6548
718,10800,7300,6538
719,10800,7300,6529
720,10800,7300,6520
721,10800,7300,6511
722,10800,7300,6500
723,10800,7300,6492
724,10800,7300,6483
725,10800,7300,6474
726,10800,7300,6464
727,10800,7300,6455
728,10800,7300,6446
729,10800,7300,6437
730,10800,7300,6427
731,10800,7300,6418
732,10700,7300,6409
733,10700,7300,6400
734,10700,7300,6400
735,10700,7300,6390
736,10700,7300,6354
737,10700,7300,6300
738,10700,7300,6300
739,10700,7236,6300
740,10700,7236,6300
741,10700,7200,6300
742,10700,7200,6300
743,10700,7200,6300
744,10700,7200,6300
745,10700,7200,6300
746,10700,7200,6300
747,10700,7200,6300
748,10700,7200,6300
749,10700,7200,6300
750,10700,7200,6300
751,10700,7200,6300
752,10700,7200,6300
753,10700,7200,6300
754,10700,7200,6300
755,10700,7200,6300
756,10700,7200,6300
757,10700,7200,6300
758,10700,7200,6300
759,10700,7200,6300
760,10700,7200,6300
761,10700,7200,6300
762,10700,7200,6300
